nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 1, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

lab mode is Interrupt
period, pulse_width, bg_tasks_run, avg_latency, missed, multi_pulses
724, 362, 5467, 254, 1, 0
726, 363, 5492, 254, 1, 0
728, 364, 5478, 254, 1, 0
730, 365, 5507, 254, 1, 0
732, 366, 5513, 254, 1, 0
734, 367, 5520, 254, 1, 0
736, 368, 5531, 254, 1, 0
738, 369, 5538, 254, 1, 0
740, 370, 5547, 254, 1, 0
742, 371, 5566, 254, 1, 0
744, 372, 5580, 254, 1, 0
746, 373, 5587, 254, 0, 0
748, 374, 5602, 254, 0, 0
750, 375, 5617, 254, 0, 0
752, 376, 5632, 254, 0, 0
754, 377, 5647, 254, 0, 0
756, 378, 5649, 254, 0, 0
758, 379, 5668, 254, 0, 0
760, 380, 5682, 254, 0, 0
762, 381, 5693, 254, 0, 0
764, 382, 5707, 254, 0, 0
766, 383, 5725, 254, 0, 0
768, 384, 5729, 254, 0, 0
770, 385, 5744, 254, 0, 0
772, 386, 5760, 254, 0, 0
774, 387, 5769, 254, 0, 0
776, 388, 5780, 254, 0, 0
778, 389, 5793, 254, 0, 0
780, 390, 5808, 254, 0, 0
782, 391, 5818, 254, 0, 0
784, 392, 5833, 254, 0, 0
786, 393, 5842, 254, 0, 0
788, 394, 5850, 254, 0, 0
790, 395, 5887, 254, 0, 0
792, 396, 5874, 254, 0, 0
794, 397, 5877, 254, 0, 0
796, 398, 5895, 254, 0, 0
798, 399, 5911, 254, 0, 0
800, 400, 5919, 254, 0, 0
802, 401, 5934, 254, 0, 0
804, 402, 5951, 254, 0, 0
806, 403, 5950, 254, 0, 0
808, 404, 5963, 254, 0, 0
810, 405, 5978, 254, 0, 0
812, 406, 5985, 254, 0, 0
814, 407, 5997, 254, 0, 0
816, 408, 6009, 254, 0, 0
818, 409, 6022, 254, 0, 0
820, 410, 6037, 254, 0, 0
822, 411, 6051, 254, 0, 0
824, 412, 6049, 254, 0, 0
826, 413, 6067, 254, 0, 0
828, 414, 6077, 254, 0, 0
830, 415, 6085, 254, 0, 0
832, 416, 6097, 254, 0, 0
834, 417, 6109, 254, 0, 0
836, 418, 6111, 254, 0, 0
838, 419, 6125, 254, 0, 0
840, 420, 6136, 254, 0, 0
842, 421, 6145, 254, 0, 0
844, 422, 6150, 254, 0, 0
846, 423, 6164, 254, 0, 0
848, 424, 6178, 254, 0, 0
850, 425, 6191, 254, 0, 0
852, 426, 6195, 254, 0, 0
854, 427, 6210, 254, 0, 0
856, 428, 6213, 254, 0, 0
858, 429, 6225, 254, 0, 0
860, 430, 6237, 254, 0, 0
862, 431, 6246, 254, 0, 0
864, 432, 6258, 254, 0, 0
866, 433, 6268, 254, 0, 0
868, 434, 6279, 254, 0, 0
870, 435, 6288, 254, 0, 0
872, 436, 6289, 254, 0, 0
874, 437, 6308, 254, 0, 0
876, 438, 6317, 254, 0, 0
878, 439, 6325, 254, 0, 0
880, 440, 6344, 254, 0, 0
882, 441, 6331, 254, 0, 0
884, 442, 6357, 254, 0, 0
886, 443, 6359, 254, 0, 0
888, 444, 6371, 254, 0, 0
890, 445, 6384, 254, 0, 0
892, 446, 6388, 254, 0, 0
894, 447, 6413, 254, 0, 0
896, 448, 6406, 254, 0, 0
898, 449, 6416, 254, 0, 0
900, 450, 6426, 254, 0, 0
902, 451, 6432, 254, 0, 0
904, 452, 6443, 254, 0, 0
906, 453, 6451, 254, 0, 0
908, 454, 6458, 254, 0, 0
910, 455, 6468, 254, 0, 0
912, 456, 6557, 254, 0, 0
914, 457, 6498, 254, 0, 0
916, 458, 6531, 254, 0, 0
918, 459, 6518, 254, 0, 0
920, 460, 6529, 254, 0, 0
922, 461, 6533, 254, 0, 0
924, 462, 6536, 254, 0, 0
926, 463, 6540, 254, 0, 0
928, 464, 6546, 254, 0, 0
930, 465, 6553, 254, 0, 0
932, 466, 6562, 254, 0, 0
934, 467, 6569, 254, 0, 0
936, 468, 6582, 254, 0, 0
938, 469, 6584, 254, 0, 0
940, 470, 6593, 254, 0, 0
942, 471, 6601, 254, 0, 0
944, 472, 6614, 254, 0, 0
946, 473, 6618, 254, 0, 0
948, 474, 6628, 254, 0, 0
950, 475, 6634, 254, 0, 0
952, 476, 6644, 254, 0, 0
954, 477, 6653, 254, 0, 0
956, 478, 6676, 254, 0, 0
958, 479, 6662, 254, 0, 0
960, 480, 6696, 254, 0, 0
962, 481, 6681, 254, 0, 0
964, 482, 6694, 254, 0, 0
966, 483, 6704, 254, 0, 0
968, 484, 6697, 254, 0, 0
970, 485, 6715, 254, 0, 0
972, 486, 6726, 254, 0, 0
974, 487, 6729, 254, 0, 0
976, 488, 6745, 254, 0, 0
978, 489, 6746, 254, 0, 0
980, 490, 6752, 254, 0, 0
982, 491, 6770, 254, 0, 0
984, 492, 6757, 254, 0, 0
986, 493, 6770, 254, 0, 0
988, 494, 6786, 254, 0, 0
990, 495, 6794, 254, 0, 0
992, 496, 6799, 254, 0, 0
994, 497, 6810, 254, 0, 0
996, 498, 6811, 254, 0, 0
998, 499, 6817, 254, 0, 0
1000, 500, 6828, 254, 0, 0
1002, 501, 6836, 254, 0, 0
1004, 502, 6844, 254, 0, 0
1006, 503, 6851, 254, 0, 0
1008, 504, 6861, 254, 0, 0
1010, 505, 6863, 254, 0, 0
1012, 506, 6875, 254, 0, 0
1014, 507, 6885, 254, 0, 0
1016, 508, 6890, 254, 0, 0
1018, 509, 6895, 254, 0, 0
1020, 510, 6900, 254, 0, 0
1022, 511, 6907, 254, 0, 0
1024, 512, 6911, 254, 0, 0
1026, 513, 6918, 254, 0, 0
1028, 514, 6930, 254, 0, 0
1030, 515, 6935, 254, 0, 0
1032, 516, 6942, 254, 0, 0
1034, 517, 6945, 254, 0, 0
1036, 518, 6953, 254, 0, 0
1038, 519, 6968, 254, 0, 0
1040, 520, 6968, 254, 0, 0
1042, 521, 6974, 254, 0, 0
1044, 522, 6986, 254, 0, 0
1046, 523, 6993, 254, 0, 0
1048, 524, 6980, 254, 0, 0
1050, 525, 6996, 254, 0, 0
1052, 526, 7008, 254, 0, 0
1054, 527, 7015, 254, 0, 0
1056, 528, 7024, 254, 0, 0
1058, 529, 7028, 254, 0, 0
1060, 530, 7034, 254, 0, 0
1062, 531, 7044, 254, 0, 0
1064, 532, 7054, 254, 0, 0
1066, 533, 7054, 254, 0, 0
1068, 534, 7061, 254, 0, 0
1070, 535, 7065, 254, 0, 0
1072, 536, 7073, 254, 0, 0
1074, 537, 7082, 254, 0, 0
1076, 538, 7086, 254, 0, 0
1078, 539, 7091, 254, 0, 0
1080, 540, 7097, 254, 0, 0
1082, 541, 7113, 254, 0, 0
1084, 542, 7111, 254, 0, 0
1086, 543, 7119, 254, 0, 0
1088, 544, 7123, 254, 0, 0
1090, 545, 7127, 254, 0, 0
1092, 546, 7135, 254, 0, 0
1094, 547, 7140, 254, 0, 0
1096, 548, 7146, 254, 0, 0
1098, 549, 7155, 254, 0, 0
1100, 550, 7160, 254, 0, 0
1102, 551, 7166, 254, 0, 0
1104, 552, 7176, 254, 0, 0
1106, 553, 7191, 254, 0, 0
1108, 554, 7203, 257, 0, 0
1110, 555, 7190, 254, 0, 0
1112, 556, 7207, 254, 0, 0
1114, 557, 7208, 254, 0, 0
1116, 558, 7209, 254, 0, 0
1118, 559, 7213, 254, 0, 0
1120, 560, 7215, 254, 0, 0
1122, 561, 7218, 254, 0, 0
1124, 562, 7228, 254, 0, 0
1126, 563, 7235, 254, 0, 0
1128, 564, 7237, 254, 0, 0
1130, 565, 7244, 254, 0, 0
1132, 566, 7250, 254, 0, 0
1134, 567, 7258, 254, 0, 0
1136, 568, 7265, 254, 0, 0
1138, 569, 7264, 254, 0, 0
1140, 570, 7273, 254, 0, 0
1142, 571, 7281, 254, 0, 0
1144, 572, 7285, 254, 0, 0
1146, 573, 7292, 254, 0, 0
1148, 574, 7301, 254, 0, 0
1150, 575, 7302, 254, 0, 0
1152, 576, 7308, 254, 0, 0
1154, 577, 7316, 254, 0, 0
1156, 578, 7320, 254, 0, 0
1158, 579, 7324, 254, 0, 0
1160, 580, 7330, 254, 0, 0
1162, 581, 7338, 254, 0, 0
1164, 582, 7341, 254, 0, 0
1166, 583, 7349, 254, 0, 0
1168, 584, 7351, 254, 0, 0
1170, 585, 7354, 254, 0, 0
1172, 586, 7377, 254, 0, 0
1174, 587, 7365, 254, 0, 0
1176, 588, 7369, 254, 0, 0
1178, 589, 7375, 254, 0, 0
1180, 590, 7384, 254, 0, 0
1182, 591, 7387, 254, 0, 0
1184, 592, 7395, 254, 0, 0
1186, 593, 7402, 254, 0, 0
1188, 594, 7400, 254, 0, 0
1190, 595, 7410, 254, 0, 0
1192, 596, 7415, 254, 0, 0
1194, 597, 7417, 254, 0, 0
1196, 598, 7422, 254, 0, 0
1198, 599, 7428, 254, 0, 0
1200, 600, 7434, 254, 0, 0
1202, 601, 7443, 254, 0, 0
1204, 602, 7450, 254, 0, 0
1206, 603, 7446, 254, 0, 0
1208, 604, 7456, 254, 0, 0
1210, 605, 7462, 254, 0, 0
1212, 606, 7464, 254, 0, 0
1214, 607, 7469, 254, 0, 0
1216, 608, 7478, 254, 0, 0
1218, 609, 7476, 254, 0, 0
1220, 610, 7482, 254, 0, 0
1222, 611, 7489, 254, 0, 0
1224, 612, 7492, 254, 0, 0
1226, 613, 7493, 254, 0, 0
1228, 614, 7502, 254, 0, 0
1230, 615, 7508, 254, 0, 0
1232, 616, 7510, 254, 0, 0
1234, 617, 7517, 254, 0, 0
1236, 618, 7523, 254, 0, 0
1238, 619, 7523, 254, 0, 0
1240, 620, 7530, 254, 0, 0
1242, 621, 7535, 254, 0, 0
1244, 622, 7541, 254, 0, 0
1246, 623, 7546, 254, 0, 0
1248, 624, 7553, 254, 0, 0
1250, 625, 7557, 254, 0, 0
1252, 626, 7562, 254, 0, 0
1254, 627, 7560, 254, 0, 0
1256, 628, 7571, 254, 0, 0
1258, 629, 7575, 254, 0, 0
1260, 630, 7579, 254, 0, 0
1262, 631, 7591, 254, 0, 0
